Rk,Age,Name, Pos, GP, G, A, P, PIM, +/-, PPG, SHG, GWG, G/GP, A/GP, P/GP,
342,19,Shane Doan,F,74,7,10,17,101,-9,1,0,3,0.095,0.135,0.230,
343,19,Chad Kilger,F,74,7,10,17,34,-4,0,0,1,0.095,0.135,0.230,
344,23,Darby Hendrickson,F,62,7,10,17,80,-8,0,0,1,0.113,0.161,0.274,
345,34,Dave Hannan,F,61,7,10,17,32,3,1,1,2,0.115,0.164,0.279,
346,21,Stefan Ustorf,F,48,7,10,17,14,8,0,0,1,0.146,0.208,0.354,
347,21,Pavol Demitra,F,31,7,10,17,6,-3,2,0,1,0.226,0.323,0.548,
348,21,Ian Laperriere,F,71,6,11,17,155,-11,1,0,1,0.085,0.155,0.239,
349,18,Kyle McLaren,D,74,5,12,17,73,16,0,0,0,0.068,0.162,0.230,
350,28,Mike Hudson,F,59,5,12,17,55,2,0,0,0,0.085,0.203,0.288,
351,20,Alexandre Daigle,F,50,5,12,17,24,-30,1,0,0,0.100,0.240,0.340,
352,27,Kerry Huffman,D,47,5,12,17,69,-18,3,0,1,0.106,0.255,0.362,
353,27,Darryl Shannon,D,74,4,13,17,92,15,0,0,0,0.054,0.176,0.230,
354,24,Jiri ?legr,D,57,4,13,17,74,-1,0,1,1,0.070,0.228,0.298,
355,27,Lyle Odelein,D,79,3,14,17,230,8,0,1,0,0.038,0.177,0.215,
356,28,Neil Wilkinson,D,62,3,14,17,120,12,0,1,1,0.048,0.226,0.274,
357,26,Jeff Odgers,F,78,12,4,16,192,-4,0,0,1,0.154,0.051,0.205,
358,23,Sandy McCarthy,F,75,9,7,16,173,-8,3,0,1,0.120,0.093,0.213,
359,24,Ted Drury,F,42,9,7,16,54,-19,1,0,1,0.214,0.167,0.381,
360,28,Tim Sweeney,F,41,8,8,16,14,4,1,0,2,0.195,0.195,0.390,
361,24,Kris Draper,F,52,7,9,16,32,2,0,1,0,0.135,0.173,0.308,
362,22,Patrick Poulin,F,46,7,9,16,16,7,1,0,0,0.152,0.196,0.348,
363,21,Sergei Krivokrasov,F,46,6,10,16,32,10,0,0,1,0.130,0.217,0.348,
364,29,Pavel Torgajev,F,41,6,10,16,14,2,0,0,0,0.146,0.244,0.390,
365,28,Sylvain Lefebvre,D,75,5,11,16,49,26,2,0,0,0.067,0.147,0.213,
366,24,Adam Foote,D,73,5,11,16,88,27,1,0,1,0.068,0.151,0.219,
367,24,Cory Cross,D,75,2,14,16,66,4,0,0,0,0.027,0.187,0.213,
368,27,Stephane Quintal,D,68,2,14,16,117,-4,0,1,1,0.029,0.206,0.235,
369,28,Ronnie Stern,F,52,10,5,15,111,2,0,0,1,0.192,0.096,0.288,
370,38,Joe Mullen,F,37,8,7,15,0,-2,4,0,1,0.216,0.189,0.405,
371,29,Peter Douris,F,31,8,7,15,9,-3,2,0,3,0.258,0.226,0.484,
